# Stimulus file for SDRAM controller
#
# Line format:
#
#         Command: N=NOP, R=READ, W=WRITE
#        /
#       /     Word Address (21 downto 0)
#      /     /
#     /     /     MemCtrl Data In (15 downto 0)
#    /     /     /
#   |     /     /    RAM Data Out (15 downto 0)
#   |    /     /    /
#   |   /\    /\   /\
#   |  /  \  /  \ /  \
#   O AAAAAA DDDD DDDD
#
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
R 3FFFFF ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
N ZZZZZZ ZZZZ ZZZZ
